5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000,302181125
11/2/2001,Monsters Inc.,115000000,289423425
7/26/2013,The Wolverine,115000000,132556852
2/7/1997,Dante's Peak,115000000,67155742
6/14/2002,Windtalkers,115000000,40914068
12/31/2008,Astérix aux Jeux Olympiques,113500000,999811
12/25/2010,Gulliver's Travels,112000000,42779261
10/4/2013,Gravity,110000000,274092705
12/22/2006,Night at the Museum,110000000,250863268
6/10/2005,Mr. and Mrs. Smith,110000000,186336279
5/29/2015,San Andreas,110000000,155181732
7/29/2011,The Smurfs,110000000,142614158
6/27/2007,Live Free or Die Hard,110000000,134529403
3/20/2015,Insurgent,110000000,130179072
12/10/2004,Ocean's Twelve,110000000,125531634
12/19/1997,Tomorrow Never Dies,110000000,125279326
6/28/2000,The Patriot,110000000,113330342
3/7/2014,300: Rise of an Empire,110000000,106580051
12/17/2004,The Aviator,110000000,102608827
1/14/2011,The Green Hornet,110000000,98780042
10/7/2011,Real Steel,110000000,85463309
6/11/2010,The A-Team,110000000,77222099
7/31/2013,The Smurfs 2,110000000,71017784
6/12/2009,The Taking of Pelham 123,110000000,65452312
11/1/2013,Ender's Game,110000000,61737191
4/2/2004,Home on the Range,110000000,50026353
6/13/1997,Speed II: Cruise Control,110000000,48068396
5/6/2005,Kingdom of Heaven,110000000,47398413
6/16/2004,Around the World in 80 Days,110000000,24004159
12/19/2001,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750
11/21/2003,The Cat in the Hat,109000000,101018283
12/25/2001,Ali,109000000,58183966
10/2/2015,The Martian,108000000,108715595
7/16/2004,I Robot,105000000,144795350
12/17/1999,Stuart Little,105000000,140015224
11/25/2009,The Princess and the Frog,105000000,104400899
3/7/2008,10000 B.C.,105000000,94784201
4/27/2001,Town & Country,105000000,6712451
6/9/2000,Gone in 60 Seconds,103300000,101643008
5/5/2000,Gladiator,103000000,187683805
5/23/2013,The Hangover 3,103000000,112200072
7/1/2009,Public Enemies,102500000,97104620
11/17/2006,Casino Royale,102000000,167220102
6/21/2002,Minority Report,102000000,132024714
10/26/2012,Cloud Atlas,102000000,27108272
11/15/2002,Harry Potter and the Chamber of Secrets,100000000,261987880
7/2/1991,Terminator 2: Judgment Day,100000000,201858746
6/16/1995,Batman Forever,100000000,183997904
7/27/2001,Planet of the Apes,100000000,180011740
11/19/2004,National Treasure,100000000,173005002
12/25/2012,Django Unchained,100000000,162805434
12/22/2010,Little Fockers,100000000,148438600
7/15/1994,True Lies,100000000,146273950
11/2/2007,American Gangster,100000000,130164645
9/18/2009,Cloudy with a Chance of Meatballs,100000000,124870275
8/6/2010,The Other Guys,100000000,119219978
12/17/2004,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117
12/25/2013,The Wolf of Wall Street,100000000,116900694
5/24/2013,Epic,100000000,107518682
6/21/1996,Eraser,100000000,101283031
6/21/1996,The Hunchback of Notre Dame,100000000,100117603
12/15/2000,The Emperor's New Groove,100000000,89296573
8/17/2012,The Expendables 2,100000000,85028192
10/16/2009,Where the Wild Things Are,100000000,77233467
12/15/2006,Eragon,100000000,75030163
7/25/2014,Hercules,100000000,72688614
12/10/2010,The Tourist,100000000,67631157
11/24/1999,End of Days,100000000,66889043
6/11/2004,The Stepford Wives,100000000,59475623
6/8/2007,Surf's Up,100000000,58867694
12/8/2006,Blood Diamond,100000000,57377916
9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313
11/7/1997,Starship Troopers,100000000,54700065
6/5/2009,Land of the Lost,100000000,49438370
12/25/2003,Peter Pan,100000000,48417850
7/23/2004,Catwoman,100000000,40202379
