Release Date,Movie Title,Profit Amount
8/9/1989,The Abyss,-20289542
1/14/2011,The Dilemma,-21524710
11/6/1998,The Siege,-29067628
6/15/2012,Rock of Ages,-31481387
8/10/2007,Stardust,-31626765
10/8/1997,Seven Years in Tibet,-32098491
9/17/2004,Sky Captain and the World of Tomorrow,-32239920
11/1/2002,I Spy,-36438863
6/7/2002,Bad Company,-39842984
10/21/2005,Doom,-41968750
10/18/2013,Escape Plan,-44864035
9/23/2011,Killer Elite,-44875014
1/16/1998,Hard Rain,-50180506
2/15/2002,Hart's War,-50923185
2/8/2002,Rollerball,-51009458
1/10/2014,The Legend of Hercules,-51151462
9/20/2002,Ballistic: Ecks vs. Sever,-55705158
8/10/2001,Osmosis Jones,-56403089
5/9/2014,Legends of Oz: Dorothy’s Return,-61537653
1/16/2015,Blackhat,-62110605
3/31/2006,Basic Instinct 2,-64053864
5/28/2010,Agora,-69380577
7/9/2010,Despicable Me,182513985
7/30/2010,Dinner for Schmucks,4026337
6/30/2010,The Twilight Saga: Eclipse,232531751
5/31/2002,The Sum of All Fears,50471320
7/13/2001,The Score,3069884
2/25/2011,Hall Pass,-22939266
11/22/1995,Money Train,-32694910
3/21/2003,Dreamcatcher,-34314732
8/6/1999,Mystery Men,-38237989
11/5/1999,The Insider,-39034803
3/2/2012,Doctor Seuss' The Lorax,146530500
10/10/2008,Body of Lies,-28105334
6/22/2012,Abraham Lincoln: Vampire Hunter,-29980861
9/20/1996,Last Man Standing,-48899983
8/17/2007,The Last Legion,-61067940
4/30/1999,Entrapment,21707396
6/19/1998,The X Files: Fight the Future,17826398
3/14/2014,Need for Speed,-22431493
7/24/1998,Saving Private Ryan,151119491
12/15/2000,What Women Want,117805123
11/9/2012,Lincoln,117207973
3/15/2002,Ice Age,111387405
6/30/1995,Apollo 13,107036360
3/31/1999,The Matrix,106383253
12/25/2012,Les Miserables,83809770
11/1/2002,The Santa Clause 2,74225854
12/18/1998,You've Got Mail,50731542
12/25/2014,Unbroken,50637895
6/5/2015,Spy!,45825712
6/1/1990,Total Recall,43580729
11/5/2010,Due Date,35539043
7/25/2008,Step Brothers,35468793
12/15/1995,Jumanji,35109938
7/17/1998,The Mask of Zorro,28771072
8/4/2000,Space Cowboys,25454043
12/19/2014,Annie,20911262
5/28/1993,Cliffhanger,19049211
2/9/1996,Broken Arrow,5640985
8/9/2006,World Trade Center,5278893
7/7/2000,The Kid,4688384
12/19/2003,Mona Lisa Smile,-1196900
5/16/2012,The Dictator,-5349778
7/16/1999,Eyes Wide Shut,-9362320
2/17/2012,This Means War,-10239209
2/27/2015,Focus,-11137037
12/8/2004,Blade: Trinity,-12602611
11/21/2012,Red Dawn,-20193217
12/22/2006,We Are Marshall,-21454636
9/14/2012,Resident Evil: Retribution,-22654469
3/20/1998,Primary Colors,-26033943
10/15/1999,Fight Club,-27969898
8/22/2008,Death Race,-28902470
10/11/1996,The Long Kiss Goodnight,-31569049
12/8/2000,Proof of Life,-32401069
11/11/2005,Zathura,-36954460
11/26/2003,The Missing,-38099664
1/14/2005,Elektra,-40590278
10/23/2009,Astro Boy,-45448933
1/24/2014,I Frankenstein,-45924710
